Algoritmo;Tamanho;Caso;Tempo(s);Comparacoes;Trocas
InsertionString;1000;Medio;0.000915;245601;245603
InsertionString;1000;Melhor;0.000010;999;999
InsertionString;1000;Pior;0.001829;499500;500499
InsertionString;2000;Medio;0.003715;1016487;1016490
InsertionString;2000;Melhor;0.000022;1999;1999
InsertionString;2000;Pior;0.007967;1999000;2000999
InsertionString;3000;Medio;0.009182;2277906;2277910
InsertionString;3000;Melhor;0.000035;2999;2999
InsertionString;3000;Pior;0.017720;4498500;4501499
InsertionString;4000;Medio;0.016157;4088219;4088223
InsertionString;4000;Melhor;0.000046;3999;3999
InsertionString;4000;Pior;0.029812;7998000;8001999
InsertionString;5000;Medio;0.023300;6330819;6330823
InsertionString;5000;Melhor;0.000053;4999;4999
InsertionString;5000;Pior;0.045998;12497500;12502499
InsertionString;6000;Medio;0.033203;9159286;9159290
InsertionString;6000;Melhor;0.000063;5999;5999
InsertionString;6000;Pior;0.068058;17997000;18002999
InsertionString;7000;Medio;0.044563;12478336;12478340
InsertionString;7000;Melhor;0.000074;6999;6999
InsertionString;7000;Pior;0.091542;24496500;24503499
InsertionString;8000;Medio;0.059455;16315673;16315678
InsertionString;8000;Melhor;0.000083;7999;7999
InsertionString;8000;Pior;0.119274;31996000;32003999
InsertionString;9000;Medio;0.076232;20717242;20717247
InsertionString;9000;Melhor;0.000094;8999;8999
InsertionString;9000;Pior;0.151507;40495500;40504499
InsertionString;10000;Medio;0.095131;25449756;25449761
InsertionString;10000;Melhor;0.000104;9999;9999
InsertionString;10000;Pior;0.183407;49995000;50004999
InsertionString;11000;Medio;0.114704;30786687;30786693
InsertionString;11000;Melhor;0.000115;10999;10999
InsertionString;11000;Pior;0.220925;60494500;60505499
InsertionString;12000;Medio;0.139399;36734696;36734702
InsertionString;12000;Melhor;0.000126;11999;11999
InsertionString;12000;Pior;0.267208;71994000;72005999
InsertionString;13000;Medio;0.160487;42880694;42880700
InsertionString;13000;Melhor;0.000143;12999;12999
InsertionString;13000;Pior;0.303921;84493500;84506499
InsertionString;14000;Medio;0.180623;49852324;49852330
InsertionString;14000;Melhor;0.000147;13999;13999
InsertionString;14000;Pior;0.363007;97993000;98006999
InsertionString;15000;Medio;0.211129;57113963;57113969
InsertionString;15000;Melhor;0.000173;14999;14999
InsertionString;15000;Pior;0.432642;112492500;112507499
InsertionString;16000;Medio;0.237668;64719413;64719419
InsertionString;16000;Melhor;0.000170;15999;15999
InsertionString;16000;Pior;0.463148;127992000;128007999
InsertionString;17000;Medio;0.265193;73079856;73079862
InsertionString;17000;Melhor;0.000178;16999;16999
InsertionString;17000;Pior;0.538831;144491500;144508499
InsertionString;18000;Medio;0.298828;81895211;81895217
InsertionString;18000;Melhor;0.000207;17999;17999
InsertionString;18000;Pior;0.591080;161991000;162008999
InsertionString;19000;Medio;0.336534;91105111;91105117
InsertionString;19000;Melhor;0.000218;18999;18999
InsertionString;19000;Pior;0.658751;180490500;180509499
InsertionString;20000;Medio;0.374586;100938691;100938697
InsertionString;20000;Melhor;0.000211;19999;19999
InsertionString;20000;Pior;1.824882;199990000;200009999
InsertionString;21000;Medio;1.369537;111067515;111067521
InsertionString;21000;Melhor;0.000750;20999;20999
InsertionString;21000;Pior;1.725434;220489500;220510499
InsertionString;22000;Medio;0.447999;121462742;121462748
InsertionString;22000;Melhor;0.000231;21999;21999
InsertionString;22000;Pior;0.910293;241989000;242010998
InsertionString;23000;Medio;0.550576;132654325;132654331
InsertionString;23000;Melhor;0.000252;22999;22999
InsertionString;23000;Pior;1.026613;264488500;264511498
InsertionString;24000;Medio;0.550917;144592429;144592435
InsertionString;24000;Melhor;0.000264;23999;23999
InsertionString;24000;Pior;2.987815;287988000;288011998
InsertionString;25000;Medio;1.626854;157085025;157085031
InsertionString;25000;Melhor;0.000263;24999;24999
InsertionString;25000;Pior;1.216890;312487500;312512498
InsertionString;26000;Medio;0.645935;169656454;169656460
InsertionString;26000;Melhor;0.000293;25999;25999
In